		ÓPTICA 	 TIPO DE LENTE
		1		4

		1		10

		2		3

		2		12

		3		1

		3		2

		3		7

		3		8

		3		11

		4		8

		4		10

		5		10

		6		1

		6		8

		7		4

		7		5

		7		8

		7		12

		8		1

		8		5

		9		7

		10		2

		10		3

		10		6

		10		9

		11		3

		11		6

		12		6

		12		10

		13		4

		13		8

		13		12

		14		3

		14		7

		14		10

		15		2

		15		5

		15		6

		15		7

		15		8

		15		9

		15		11

		16		3

		16		6

		16		8

		17		1

		17		3

		17		11

		18		1

		18		5

		18		8

		18		10

		19		2

		19		9

		20		5

		20		6

		21		10

		21		12

		22		1

		22		5

		22		12

		23		1

		23		2

		23		10

		24		1

		24		4

		24		5

		25		3

		25		4

		25		9

		26		1

		26		4

		26		5

		26		6

		26		8

		27		4

		27		9

		28		3

		29		8

		30		1

		30		8

		30		9

		30		11

		30		12

		31		3

		31		7

		32		2

		32		3

		32		5

		32		6

		32		11

		33		3

		33		4

		33		12

		34		3

		34		5

		34		6

		34		8

		34		9

		34		10

		35		1

		35		2

		35		7

		35		11

		36		7

		36		9

		36		11

		37		1

		37		2

		37		3

		37		8

		37		11

		37		12

		38		9

		38		10

		39		1

		40		8

		40		12

		41		3

		41		5

		41		8

		41		12

		42		5

		42		6

		42		10

		42		12

		43		4

		43		7

		43		8

		43		12

		44		4

		44		10

		45		12

		46		8

		46		11

		47		5

		47		6

		47		8

		48		1

		48		2

		48		7

		48		9

		49		2

		49		7

		50		6

